time_bin,France,Japan,Spain,UK
0,142,197,330,162
1,139,91,290,323
2,139,72,280,366
3,143,9,280,406
4,135,49,197,317
5,0,7,0,323
6,0,0,0,135
7,0,10,0,297
8,0,13,0,146
9,0,26,0,167
10,0,91,0,117
11,0,225,0,132
12,72,129,145,75
13,1,118,123,225
14,97,82,355,225
15,163,89,274,352
16,148,131,322,354
17,140,130,240,464
18,140,126,298,477
19,145,149,304,560
20,144,111,294,467
21,143,82,285,605
22,137,163,298,558
23,178,98,327,595
24,166,258,317,541
25,148,150,297,672
26,135,182,264,615
27,127,118,282,543
28,144,231,299,583
29,139,109,245,563
30,100,362,285,598
31,141,327,322,573
32,122,52,381,568
33,186,74,190,678
34,239,77,155,447
35,61,88,156,458
36,0,61,120,441
37,0,103,145,377
38,0,55,144,477
39,0,6,151,438
40,0,0,134,445
41,0,0,149,415
42,0,0,80,457
43,0,0,116,583
44,0,0,118,160
45,0,0,201,156
46,0,0,200,140
47,0,0,129,181
48,0,0,101,185
49,0,0,84,155
50,0,0,8,144
51,0,0,0,206
52,0,0,0,4
55,0,7,0,0
58,0,49,0,0
59,0,155,0,0
60,0,220,0,0
61,0,107,0,0
62,0,61,0,0
63,0,43,0,0
64,0,22,0,0
65,0,31,0,0
67,0,8,0,0
68,0,4,0,0
69,0,10,0,0
70,0,16,0,0
71,0,177,0,0
72,0,236,0,0
73,0,215,0,0
74,0,351,0,0
75,0,358,0,0
76,0,161,0,0
77,0,96,0,0
78,0,119,0,0
79,0,361,0,0
80,0,162,0,0
81,0,24,0,0
82,0,139,0,0
83,0,85,0,0
84,0,97,0,0
85,0,53,0,0
86,0,30,0,0
87,0,57,0,0
88,0,48,0,0
89,0,43,0,0
90,0,25,0,0
91,0,81,0,0
92,0,126,0,0
93,0,172,0,0
94,0,165,0,0
95,0,146,0,0
96,0,299,0,0
97,0,186,0,0
98,0,51,0,0
99,0,29,0,0
